date,open,high,low,close,volume,amount,source
2013-07-01,0.963,0.965,0.96,0.965,5941,572263.0,AkShare场内ETF
2013-07-02,0.974,0.974,0.968,0.972,17770,1725760.0,AkShare场内ETF
2013-07-03,0.972,0.973,0.97,0.973,9454,918041.0,AkShare场内ETF
2013-07-04,0.973,0.978,0.973,0.978,7937,774942.0,AkShare场内ETF
2013-07-05,0.986,0.989,0.976,0.989,16699,1642111.0,AkShare场内ETF
2013-07-08,0.995,1.0,0.987,0.998,32218,3204852.0,AkShare场内ETF
2013-07-09,0.997,1.0,0.995,0.996,15498,1546460.0,AkShare场内ETF
2013-07-10,1.002,1.009,0.993,0.999,37007,3698861.0,AkShare场内ETF
2013-07-11,1.0,1.005,0.998,1.004,34670,3469293.0,AkShare场内ETF
2013-07-12,1.011,1.02,1.011,1.019,56645,5767604.0,AkShare场内ETF
2013-07-15,1.026,1.028,1.02,1.023,30695,3138795.0,AkShare场内ETF
2013-07-16,1.023,1.023,1.018,1.019,17099,1743023.0,AkShare场内ETF
2013-07-17,1.016,1.021,1.015,1.019,9661,984805.0,AkShare场内ETF
2013-07-18,1.02,1.022,1.019,1.02,13509,1378244.0,AkShare场内ETF
2013-07-19,1.02,1.022,1.018,1.019,19280,1966169.0,AkShare场内ETF
2013-07-22,1.019,1.019,1.013,1.015,13668,1388070.0,AkShare场内ETF
2013-07-23,1.016,1.017,1.014,1.016,21943,2228584.0,AkShare场内ETF
2013-07-24,1.013,1.013,0.995,1.0,35217,3527895.0,AkShare场内ETF
2013-07-25,1.002,1.004,0.998,1.0,24467,2447828.0,AkShare场内ETF
2013-07-26,1.009,1.01,1.006,1.01,8105,817653.0,AkShare场内ETF
2013-07-29,1.01,1.016,1.01,1.015,10918,1107134.0,AkShare场内ETF
2013-07-30,1.013,1.013,1.01,1.011,6560,663067.0,AkShare场内ETF
2013-07-31,1.016,1.018,1.013,1.013,12783,1297057.0,AkShare场内ETF
2013-08-01,1.014,1.016,1.013,1.014,18477,1873999.0,AkShare场内ETF
2013-08-02,1.03,1.033,1.02,1.023,58281,5960456.0,AkShare场内ETF
2013-08-05,1.028,1.033,1.028,1.031,33409,3441001.0,AkShare场内ETF
2013-08-06,1.03,1.031,1.025,1.03,36448,3746970.0,AkShare场内ETF
2013-08-07,1.019,1.02,1.015,1.017,29186,2968094.0,AkShare场内ETF
2013-08-08,1.02,1.02,1.016,1.018,14304,1457042.0,AkShare场内ETF
2013-08-09,1.019,1.026,1.019,1.026,14901,1526663.0,AkShare场内ETF
2013-08-12,1.024,1.024,1.014,1.019,15893,1616635.0,AkShare场内ETF
2013-08-13,1.019,1.023,1.016,1.019,10661,1087177.0,AkShare场内ETF
2013-08-14,1.023,1.03,1.019,1.021,23877,2440549.0,AkShare场内ETF
2013-08-15,1.016,1.02,1.01,1.017,27029,2742577.0,AkShare场内ETF
2013-08-16,1.0,1.003,1.0,1.001,17246,1726323.0,AkShare场内ETF
2013-08-19,1.001,1.003,0.999,1.0,11012,1101666.0,AkShare场内ETF
2013-08-20,0.998,0.999,0.994,0.995,40554,4043894.0,AkShare场内ETF
2013-08-21,1.0,1.004,1.0,1.001,7858,787400.0,AkShare场内ETF
2013-08-22,1.0,1.001,0.998,0.998,7635,763006.0,AkShare场内ETF
2013-08-23,1.008,1.015,1.008,1.015,25875,2615619.0,AkShare场内ETF
2013-08-26,1.019,1.021,1.016,1.019,31162,3176104.0,AkShare场内ETF
2013-08-27,1.018,1.018,1.015,1.017,7093,720755.0,AkShare场内ETF
2013-08-28,0.998,0.999,0.995,0.996,16819,1676997.0,AkShare场内ETF
2013-08-29,1.0,1.002,0.999,1.002,6707,671519.0,AkShare场内ETF
2013-08-30,1.004,1.011,1.004,1.009,11389,1147622.0,AkShare场内ETF
2013-09-02,1.005,1.013,1.004,1.012,32283,3253559.0,AkShare场内ETF
2013-09-03,1.012,1.015,1.009,1.015,19404,1965670.0,AkShare场内ETF
2013-09-04,1.01,1.016,1.005,1.013,12062,1218605.0,AkShare场内ETF
2013-09-05,1.018,1.022,1.016,1.019,26344,2685493.0,AkShare场内ETF
2013-09-06,1.02,1.021,1.015,1.016,10036,1022434.0,AkShare场内ETF
2013-09-09,1.02,1.028,1.019,1.026,45849,4700028.0,AkShare场内ETF
2013-09-10,1.028,1.032,1.027,1.028,28471,2927213.0,AkShare场内ETF
2013-09-11,1.028,1.037,1.028,1.03,29466,3042044.0,AkShare场内ETF
2013-09-12,1.029,1.037,1.027,1.031,22775,2348687.0,AkShare场内ETF
2013-09-13,1.028,1.033,1.026,1.028,7212,742171.0,AkShare场内ETF
2013-09-16,1.036,1.043,1.036,1.04,24649,2563450.0,AkShare场内ETF
2013-09-17,1.037,1.037,1.029,1.029,8523,879451.0,AkShare场内ETF
2013-09-18,1.034,1.042,1.032,1.041,13122,1364840.0,AkShare场内ETF
2013-09-23,1.042,1.063,1.042,1.063,39299,4137077.0,AkShare场内ETF
2013-09-24,1.043,1.064,1.043,1.06,10439,1103618.0,AkShare场内ETF
2013-09-25,1.06,1.063,1.054,1.06,20854,2208686.0,AkShare场内ETF
2013-09-26,1.068,1.068,1.054,1.06,11559,1226533.0,AkShare场内ETF
2013-09-27,1.07,1.075,1.063,1.071,11636,1243139.0,AkShare场内ETF
2013-09-30,1.07,1.07,1.05,1.056,16539,1755274.0,AkShare场内ETF
2013-10-08,1.06,1.06,1.054,1.054,9952,1051338.0,AkShare场内ETF
2013-10-09,1.035,1.04,1.035,1.04,14616,1515825.0,AkShare场内ETF
2013-10-10,1.026,1.042,1.026,1.042,7336,760977.0,AkShare场内ETF
2013-10-11,1.052,1.065,1.049,1.065,9364,994147.0,AkShare场内ETF
2013-10-14,1.07,1.07,1.064,1.067,5954,635580.0,AkShare场内ETF
2013-10-15,1.074,1.081,1.074,1.081,10837,1168906.0,AkShare场内ETF
2013-10-16,1.073,1.08,1.07,1.079,11227,1208327.0,AkShare场内ETF
2013-10-17,1.086,1.096,1.086,1.096,11789,1287337.0,AkShare场内ETF
2013-10-18,1.107,1.107,1.094,1.101,12348,1356910.0,AkShare场内ETF
2013-10-21,1.101,1.116,1.101,1.114,9030,1005538.0,AkShare场内ETF
2013-10-22,1.117,1.162,1.114,1.156,62963,7177423.0,AkShare场内ETF
2013-10-23,1.156,1.171,1.137,1.14,24003,2745515.0,AkShare场内ETF
2013-10-24,1.13,1.143,1.108,1.121,38336,4286237.0,AkShare场内ETF
2013-10-25,1.125,1.155,1.125,1.139,26665,3038599.0,AkShare场内ETF
2013-10-28,1.151,1.151,1.134,1.141,21513,2457572.0,AkShare场内ETF
2013-10-29,1.142,1.142,1.121,1.123,12661,1425097.0,AkShare场内ETF
2013-10-30,1.128,1.129,1.124,1.128,12511,1410745.0,AkShare场内ETF
2013-10-31,1.12,1.12,1.114,1.116,10520,1175667.0,AkShare场内ETF
2013-11-01,1.097,1.12,1.097,1.118,8807,979642.0,AkShare场内ETF
2013-11-04,1.112,1.123,1.112,1.122,6196,693267.0,AkShare场内ETF
2013-11-05,1.13,1.13,1.122,1.126,7769,873216.0,AkShare场内ETF
2013-11-06,1.126,1.134,1.121,1.134,9390,1058519.0,AkShare场内ETF
2013-11-07,1.131,1.136,1.123,1.134,9802,1106625.0,AkShare场内ETF
2013-11-08,1.112,1.133,1.104,1.125,15537,1744367.0,AkShare场内ETF
2013-11-11,1.145,1.145,1.122,1.128,12807,1445611.0,AkShare场内ETF
2013-11-12,1.128,1.128,1.124,1.126,6110,687898.0,AkShare场内ETF
2013-11-13,1.121,1.121,1.116,1.117,5707,638532.0,AkShare场内ETF
2013-11-14,1.138,1.139,1.128,1.134,27003,3055995.0,AkShare场内ETF
2013-11-15,1.14,1.14,1.129,1.132,21063,2385021.0,AkShare场内ETF
2013-11-18,1.135,1.138,1.129,1.132,16924,1914118.0,AkShare场内ETF
2013-11-19,1.128,1.128,1.111,1.116,24746,2760716.0,AkShare场内ETF
2013-11-20,1.113,1.113,1.085,1.098,167326,18340474.0,AkShare场内ETF
2013-11-21,1.095,1.1,1.085,1.089,22283,2430279.0,AkShare场内ETF
2013-11-22,1.111,1.111,1.103,1.108,10510,1162417.0,AkShare场内ETF
2013-11-25,1.108,1.125,1.108,1.125,11368,1273586.0,AkShare场内ETF
2013-11-26,1.12,1.122,1.118,1.121,7121,797425.0,AkShare场内ETF
2013-11-27,1.126,1.133,1.126,1.133,12997,1468750.0,AkShare场内ETF
2013-11-28,1.138,1.142,1.132,1.142,17144,1947189.0,AkShare场内ETF
2013-11-29,1.142,1.142,1.135,1.137,6358,722713.0,AkShare场内ETF
2013-12-02,1.139,1.142,1.134,1.136,7841,891249.0,AkShare场内ETF
2013-12-03,1.136,1.138,1.13,1.131,10755,1217235.0,AkShare场内ETF
2013-12-04,1.126,1.136,1.126,1.132,5979,676138.0,AkShare场内ETF
2013-12-05,1.134,1.134,1.131,1.132,3309,374678.0,AkShare场内ETF
2013-12-06,1.133,1.134,1.131,1.132,5406,612057.0,AkShare场内ETF
2013-12-09,1.138,1.144,1.138,1.144,8201,936673.0,AkShare场内ETF
2013-12-10,1.142,1.145,1.141,1.145,8917,1019662.0,AkShare场内ETF
2013-12-11,1.143,1.143,1.135,1.135,7619,867320.0,AkShare场内ETF
2013-12-12,1.13,1.138,1.115,1.118,19511,2196204.0,AkShare场内ETF
2013-12-13,1.117,1.125,1.117,1.122,5222,584973.0,AkShare场内ETF
2013-12-16,1.121,1.125,1.119,1.121,8668,971728.0,AkShare场内ETF
2013-12-17,1.126,1.128,1.126,1.128,5657,637667.0,AkShare场内ETF
2013-12-18,1.116,1.126,1.116,1.122,8246,924011.0,AkShare场内ETF
2013-12-19,1.133,1.14,1.133,1.136,12430,1414280.0,AkShare场内ETF
2013-12-20,1.133,1.138,1.132,1.137,13212,1500942.0,AkShare场内ETF
2013-12-23,1.148,1.155,1.145,1.155,12077,1390750.0,AkShare场内ETF
2013-12-24,1.159,1.173,1.159,1.173,18928,2213294.0,AkShare场内ETF
2013-12-25,1.174,1.179,1.167,1.175,7869,921950.0,AkShare场内ETF
2013-12-26,1.17,1.177,1.167,1.175,15008,1758592.0,AkShare场内ETF
2013-12-27,1.178,1.187,1.176,1.179,11042,1303793.0,AkShare场内ETF
2013-12-30,1.176,1.176,1.159,1.162,27174,3164600.0,AkShare场内ETF
2013-12-31,1.16,1.163,1.153,1.163,10572,1225938.0,AkShare场内ETF
2014-01-02,1.167,1.172,1.167,1.169,12136,1419482.0,AkShare场内ETF
2014-01-03,1.16,1.161,1.156,1.161,14367,1665535.0,AkShare场内ETF
2014-01-06,1.164,1.164,1.154,1.157,6839,790852.0,AkShare场内ETF
2014-01-07,1.156,1.157,1.152,1.156,10908,1259099.0,AkShare场内ETF
2014-01-08,1.169,1.173,1.16,1.173,31803,3703986.0,AkShare场内ETF
2014-01-09,1.173,1.174,1.17,1.172,6201,726344.0,AkShare场内ETF
2014-01-10,1.17,1.172,1.164,1.171,7862,918786.0,AkShare场内ETF
2014-01-13,1.17,1.172,1.169,1.17,7936,928637.0,AkShare场内ETF
2014-01-14,1.156,1.158,1.15,1.157,15859,1829622.0,AkShare场内ETF
2014-01-15,1.168,1.176,1.16,1.168,12144,1421091.0,AkShare场内ETF
2014-01-16,1.175,1.182,1.175,1.181,13292,1568886.0,AkShare场内ETF
2014-01-17,1.176,1.185,1.176,1.183,6267,740999.0,AkShare场内ETF
2014-01-20,1.181,1.182,1.175,1.18,6925,816702.0,AkShare场内ETF
2014-01-21,1.179,1.183,1.177,1.182,6627,782125.0,AkShare场内ETF
2014-01-22,1.185,1.187,1.182,1.182,8345,988057.0,AkShare场内ETF
2014-01-23,1.188,1.194,1.185,1.191,13938,1657257.0,AkShare场内ETF
2014-01-24,1.189,1.189,1.181,1.186,13958,1653094.0,AkShare场内ETF
2014-01-27,1.174,1.174,1.155,1.162,23331,2703009.0,AkShare场内ETF
2014-01-28,1.152,1.16,1.15,1.16,27161,3134312.0,AkShare场内ETF
2014-01-29,1.162,1.186,1.159,1.174,12414,1448090.0,AkShare场内ETF
2014-01-30,1.159,1.168,1.148,1.163,22096,2550992.0,AkShare场内ETF
2014-02-07,1.162,1.162,1.147,1.16,23346,2694739.0,AkShare场内ETF
2014-02-10,1.173,1.173,1.17,1.172,17295,2024900.0,AkShare场内ETF
2014-02-11,1.173,1.177,1.169,1.171,13606,1594376.0,AkShare场内ETF
2014-02-12,1.18,1.184,1.18,1.184,9994,1180947.0,AkShare场内ETF
2014-02-13,1.183,1.183,1.177,1.177,15379,1812717.0,AkShare场内ETF
2014-02-14,1.187,1.194,1.179,1.183,43957,5203835.0,AkShare场内ETF
2014-02-17,1.184,1.189,1.181,1.187,20551,2433425.0,AkShare场内ETF
2014-02-18,1.187,1.187,1.181,1.184,9689,1146287.0,AkShare场内ETF
2014-02-19,1.184,1.197,1.184,1.196,19578,2336669.0,AkShare场内ETF
2014-02-20,1.189,1.189,1.182,1.189,10586,1255640.0,AkShare场内ETF
2014-02-21,1.192,1.204,1.192,1.203,14189,1702903.0,AkShare场内ETF
2014-02-24,1.201,1.201,1.197,1.2,13607,1632449.0,AkShare场内ETF
2014-02-25,1.203,1.215,1.203,1.215,18178,2200252.0,AkShare场内ETF
2014-02-26,1.213,1.229,1.207,1.225,23129,2809765.0,AkShare场内ETF
2014-02-27,1.223,1.228,1.21,1.227,19270,2350874.0,AkShare场内ETF
2014-02-28,1.228,1.267,1.226,1.25,32266,4011482.0,AkShare场内ETF
2014-03-03,1.245,1.246,1.204,1.239,32158,3938835.0,AkShare场内ETF
2014-03-04,1.213,1.23,1.211,1.225,34161,4157285.0,AkShare场内ETF
2014-03-05,1.241,1.242,1.228,1.24,36394,4492463.0,AkShare场内ETF
2014-03-06,1.239,1.239,1.228,1.233,19007,2341716.0,AkShare场内ETF
2014-03-07,1.23,1.236,1.226,1.231,19539,2403897.0,AkShare场内ETF
2014-03-10,1.231,1.231,1.218,1.22,24600,3002247.0,AkShare场内ETF
2014-03-11,1.218,1.221,1.218,1.221,10279,1253534.0,AkShare场内ETF
2014-03-12,1.216,1.216,1.211,1.215,13138,1594600.0,AkShare场内ETF
2014-03-13,1.221,1.221,1.217,1.219,8511,1037347.0,AkShare场内ETF
2014-03-14,1.201,1.202,1.195,1.197,23596,2826563.0,AkShare场内ETF
2014-03-17,1.192,1.193,1.185,1.189,35455,4211294.0,AkShare场内ETF
2014-03-18,1.199,1.208,1.197,1.208,31496,3783944.0,AkShare场内ETF
2014-03-19,1.22,1.226,1.22,1.226,27240,3334468.0,AkShare场内ETF
2014-03-20,1.218,1.218,1.211,1.213,14233,1726634.0,AkShare场内ETF
2014-03-21,1.216,1.22,1.215,1.22,16648,2028567.0,AkShare场内ETF
2014-03-24,1.21,1.21,1.203,1.206,22449,2709577.0,AkShare场内ETF
2014-03-25,1.193,1.197,1.191,1.197,19323,2308119.0,AkShare场内ETF
2014-03-26,1.199,1.199,1.195,1.198,9599,1148467.0,AkShare场内ETF
2014-03-27,1.181,1.184,1.176,1.179,23250,2745124.0,AkShare场内ETF
2014-03-28,1.175,1.175,1.171,1.173,18870,2212246.0,AkShare场内ETF
2014-03-31,1.174,1.176,1.174,1.176,10742,1262635.0,AkShare场内ETF
2014-04-01,1.187,1.194,1.185,1.193,23031,2739298.0,AkShare场内ETF
2014-04-02,1.209,1.216,1.208,1.214,26396,3197719.0,AkShare场内ETF
2014-04-03,1.216,1.216,1.208,1.21,15342,1855386.0,AkShare场内ETF
2014-04-04,1.197,1.199,1.194,1.199,16970,2029812.0,AkShare场内ETF
2014-04-08,1.16,1.162,1.154,1.161,51052,5905016.0,AkShare场内ETF
2014-04-09,1.168,1.172,1.161,1.168,34477,4020812.0,AkShare场内ETF
2014-04-10,1.186,1.186,1.177,1.18,31856,3760881.0,AkShare场内ETF
2014-04-11,1.149,1.149,1.14,1.142,53038,6065152.0,AkShare场内ETF
2014-04-14,1.123,1.134,1.122,1.134,22656,2556797.0,AkShare场内ETF
2014-04-15,1.136,1.141,1.136,1.139,19525,2222456.0,AkShare场内ETF
2014-04-16,1.14,1.145,1.14,1.145,19870,2268841.0,AkShare场内ETF
2014-04-17,1.153,1.16,1.153,1.155,13921,1610113.0,AkShare场内ETF
2014-04-18,1.157,1.159,1.153,1.154,19289,2229888.0,AkShare场内ETF
2014-04-21,1.154,1.159,1.154,1.157,4714,545694.0,AkShare场内ETF
2014-04-22,1.162,1.167,1.16,1.166,11561,1346808.0,AkShare场内ETF
2014-04-23,1.175,1.178,1.172,1.172,11070,1300654.0,AkShare场内ETF
2014-04-24,1.163,1.178,1.163,1.177,34554,4048887.0,AkShare场内ETF
2014-04-25,1.176,1.177,1.174,1.177,12044,1415622.0,AkShare场内ETF
2014-04-28,1.161,1.162,1.153,1.155,15812,1827061.0,AkShare场内ETF
2014-04-29,1.16,1.161,1.157,1.159,5329,617553.0,AkShare场内ETF
2014-04-30,1.167,1.172,1.167,1.17,8673,1014403.0,AkShare场内ETF
2014-05-05,1.171,1.174,1.17,1.174,10331,1211527.0,AkShare场内ETF
2014-05-06,1.178,1.182,1.178,1.181,8772,1034963.0,AkShare场内ETF
2014-05-07,1.163,1.166,1.161,1.164,7653,890264.0,AkShare场内ETF
2014-05-08,1.161,1.161,1.159,1.161,10247,1188474.0,AkShare场内ETF
2014-05-09,1.161,1.161,1.156,1.159,7572,876429.0,AkShare场内ETF
2014-05-12,1.163,1.166,1.161,1.164,19955,2321853.0,AkShare场内ETF
2014-05-13,1.18,1.187,1.18,1.186,31205,3697685.0,AkShare场内ETF
2014-05-14,1.184,1.192,1.184,1.19,13753,1633271.0,AkShare场内ETF
2014-05-15,1.18,1.186,1.18,1.186,7200,852442.0,AkShare场内ETF
2014-05-16,1.182,1.182,1.176,1.179,4668,549657.0,AkShare场内ETF
2014-05-19,1.18,1.184,1.18,1.182,6437,761091.0,AkShare场内ETF
2014-05-20,1.19,1.192,1.19,1.19,8993,1071184.0,AkShare场内ETF
2014-05-21,1.189,1.189,1.182,1.183,6131,725094.0,AkShare场内ETF
2014-05-22,1.195,1.198,1.194,1.197,6706,801969.0,AkShare场内ETF
2014-05-23,1.199,1.202,1.199,1.202,6947,834475.0,AkShare场内ETF
2014-05-26,1.21,1.212,1.209,1.211,7109,860521.0,AkShare场内ETF
2014-05-27,1.212,1.216,1.212,1.216,8767,1064903.0,AkShare场内ETF
2014-05-28,1.225,1.232,1.225,1.229,17780,2186455.0,AkShare场内ETF
2014-05-29,1.231,1.231,1.22,1.224,16218,1982371.0,AkShare场内ETF
2014-05-30,1.234,1.239,1.232,1.239,15164,1873678.0,AkShare场内ETF
2014-06-03,1.236,1.236,1.231,1.236,7051,870077.0,AkShare场内ETF
2014-06-04,1.235,1.235,1.231,1.233,8067,994169.0,AkShare场内ETF
2014-06-05,1.24,1.242,1.237,1.242,6050,749762.0,AkShare场内ETF
2014-06-06,1.252,1.256,1.249,1.255,10705,1340670.0,AkShare场内ETF
2014-06-09,1.261,1.261,1.253,1.256,9596,1204713.0,AkShare场内ETF
2014-06-10,1.258,1.258,1.246,1.249,20234,2528751.0,AkShare场内ETF
2014-06-11,1.249,1.255,1.249,1.255,16436,2057629.0,AkShare场内ETF
2014-06-12,1.251,1.253,1.246,1.248,9239,1153715.0,AkShare场内ETF
2014-06-13,1.24,1.243,1.238,1.241,23393,2901583.0,AkShare场内ETF
2014-06-16,1.247,1.247,1.239,1.239,6603,819143.0,AkShare场内ETF
2014-06-17,1.242,1.246,1.241,1.243,5130,637612.0,AkShare场内ETF
2014-06-18,1.245,1.245,1.241,1.242,6058,753044.0,AkShare场内ETF
2014-06-19,1.246,1.258,1.246,1.257,11585,1454335.0,AkShare场内ETF
2014-06-20,1.255,1.257,1.253,1.254,5308,666154.0,AkShare场内ETF
2014-06-23,1.26,1.26,1.253,1.256,6941,871740.0,AkShare场内ETF
2014-06-24,1.256,1.257,1.253,1.256,3803,477209.0,AkShare场内ETF
2014-06-25,1.25,1.255,1.247,1.254,13130,1644027.0,AkShare场内ETF
2014-06-26,1.262,1.265,1.261,1.264,7528,951050.0,AkShare场内ETF
2014-06-27,1.264,1.268,1.26,1.268,9151,1156807.0,AkShare场内ETF
2014-06-30,1.268,1.271,1.267,1.271,5872,745541.0,AkShare场内ETF
2014-07-01,1.272,1.273,1.269,1.273,8243,1047703.0,AkShare场内ETF
2014-07-02,1.281,1.289,1.281,1.286,10777,1385536.0,AkShare场内ETF
2014-07-03,1.286,1.288,1.285,1.288,3809,490181.0,AkShare场内ETF
2014-07-04,1.296,1.306,1.295,1.305,16494,2145807.0,AkShare场内ETF
2014-07-07,1.305,1.308,1.291,1.308,8161,1063438.0,AkShare场内ETF
2014-07-08,1.3,1.307,1.3,1.304,11949,1557212.0,AkShare场内ETF
2014-07-09,1.295,1.295,1.277,1.284,19160,2456564.0,AkShare场内ETF
2014-07-10,1.286,1.293,1.286,1.291,14402,1859129.0,AkShare场内ETF
2014-07-11,1.284,1.285,1.28,1.281,13458,1725120.0,AkShare场内ETF
2014-07-14,1.285,1.291,1.285,1.29,8315,1071214.0,AkShare场内ETF
2014-07-15,1.297,1.302,1.295,1.301,11742,1525862.0,AkShare场内ETF
2014-07-16,1.296,1.296,1.292,1.296,8692,1124874.0,AkShare场内ETF
2014-07-17,1.298,1.3,1.297,1.3,4158,539932.0,AkShare场内ETF
2014-07-18,1.282,1.29,1.274,1.29,21013,2696354.0,AkShare场内ETF
2014-07-21,1.298,1.302,1.297,1.302,16781,2180097.0,AkShare场内ETF
2014-07-22,1.291,1.299,1.291,1.299,4539,589144.0,AkShare场内ETF
2014-07-23,1.303,1.305,1.3,1.304,10945,1425855.0,AkShare场内ETF
2014-07-24,1.307,1.316,1.307,1.314,9310,1222635.0,AkShare场内ETF
2014-07-25,1.311,1.312,1.309,1.311,7367,965470.0,AkShare场内ETF
2014-07-28,1.307,1.31,1.304,1.306,28627,3737286.0,AkShare场内ETF
2014-07-29,1.305,1.305,1.299,1.304,21896,2848714.0,AkShare场内ETF
2014-07-30,1.302,1.305,1.3,1.303,12328,1605975.0,AkShare场内ETF
2014-07-31,1.308,1.31,1.304,1.308,9166,1198651.0,AkShare场内ETF
2014-08-01,1.283,1.287,1.282,1.287,21511,2762820.0,AkShare场内ETF
2014-08-04,1.281,1.286,1.28,1.286,7566,971087.0,AkShare场内ETF
2014-08-05,1.294,1.294,1.284,1.288,20066,2581829.0,AkShare场内ETF
2014-08-06,1.28,1.281,1.278,1.279,8839,1130581.0,AkShare场内ETF
2014-08-07,1.275,1.281,1.275,1.281,7039,900288.0,AkShare场内ETF
2014-08-08,1.278,1.278,1.271,1.272,11000,1400359.0,AkShare场内ETF
2014-08-11,1.278,1.286,1.278,1.286,12731,1633085.0,AkShare场内ETF
2014-08-12,1.293,1.293,1.289,1.29,7501,968460.0,AkShare场内ETF
2014-08-13,1.29,1.29,1.283,1.285,4139,531902.0,AkShare场内ETF
2014-08-14,1.293,1.302,1.293,1.302,11536,1499771.0,AkShare场内ETF
2014-08-15,1.305,1.311,1.305,1.311,10429,1366223.0,AkShare场内ETF
2014-08-18,1.316,1.316,1.308,1.309,11956,1566823.0,AkShare场内ETF
2014-08-19,1.318,1.325,1.318,1.325,14824,1960570.0,AkShare场内ETF
2014-08-20,1.328,1.333,1.328,1.333,9487,1263404.0,AkShare场内ETF
2014-08-21,1.331,1.333,1.327,1.329,10830,1438782.0,AkShare场内ETF
2014-08-22,1.334,1.334,1.331,1.333,5204,693470.0,AkShare场内ETF
2014-08-25,1.334,1.337,1.334,1.337,8391,1120589.0,AkShare场内ETF
2014-08-26,1.34,1.348,1.34,1.348,10947,1472556.0,AkShare场内ETF
2014-08-27,1.351,1.361,1.345,1.35,10391,1399395.0,AkShare场内ETF
2014-08-28,1.346,1.346,1.342,1.344,7321,983454.0,AkShare场内ETF
2014-08-29,1.34,1.34,1.334,1.336,13792,1844012.0,AkShare场内ETF
2014-09-01,1.34,1.347,1.34,1.345,8539,1148955.0,AkShare场内ETF
2014-09-02,1.346,1.357,1.346,1.356,16585,2242725.0,AkShare场内ETF
2014-09-03,1.357,1.365,1.355,1.36,11708,1590847.0,AkShare场内ETF
2014-09-04,1.354,1.354,1.341,1.341,18443,2481211.0,AkShare场内ETF
2014-09-05,1.341,1.341,1.337,1.339,9935,1330147.0,AkShare场内ETF
2014-09-09,1.345,1.35,1.345,1.348,15961,2150002.0,AkShare场内ETF
2014-09-10,1.335,1.34,1.331,1.34,11040,1471135.0,AkShare场内ETF
2014-09-11,1.345,1.345,1.341,1.342,6426,863323.0,AkShare场内ETF
2014-09-12,1.346,1.346,1.341,1.341,6922,929216.0,AkShare场内ETF
2014-09-15,1.336,1.337,1.334,1.337,4774,637364.0,AkShare场内ETF
2014-09-16,1.329,1.329,1.321,1.322,9906,1310391.0,AkShare场内ETF
2014-09-17,1.325,1.336,1.325,1.334,11559,1540950.0,AkShare场内ETF
2014-09-18,1.339,1.339,1.336,1.338,3892,520272.0,AkShare场内ETF
2014-09-19,1.34,1.354,1.34,1.354,12770,1724521.0,AkShare场内ETF
2014-09-22,1.35,1.35,1.345,1.346,4123,555182.0,AkShare场内ETF
2014-09-23,1.331,1.335,1.329,1.335,13855,1844749.0,AkShare场内ETF
2014-09-24,1.33,1.33,1.323,1.326,19041,2523444.0,AkShare场内ETF
2014-09-25,1.339,1.341,1.337,1.339,10037,1343698.0,AkShare场内ETF
2014-09-26,1.314,1.314,1.312,1.313,12518,1643560.0,AkShare场内ETF
2014-09-29,1.326,1.33,1.326,1.327,10408,1381151.0,AkShare场内ETF
2014-09-30,1.327,1.327,1.323,1.325,22634,2998102.0,AkShare场内ETF
2014-10-08,1.294,1.297,1.29,1.294,44777,5789999.0,AkShare场内ETF
2014-10-09,1.312,1.322,1.312,1.314,26265,3456892.0,AkShare场内ETF
2014-10-10,1.291,1.296,1.29,1.296,14552,1881671.0,AkShare场内ETF
2014-10-13,1.268,1.278,1.267,1.278,26138,3321978.0,AkShare场内ETF
2014-10-14,1.264,1.268,1.256,1.268,37905,4786998.0,AkShare场内ETF
2014-10-15,1.268,1.272,1.262,1.268,17393,2203797.0,AkShare场内ETF
2014-10-16,1.264,1.275,1.254,1.265,20679,2605743.0,AkShare场内ETF
2014-10-17,1.266,1.266,1.251,1.256,28307,3554916.0,AkShare场内ETF
2014-10-20,1.262,1.265,1.26,1.265,19692,2485645.0,AkShare场内ETF
2014-10-21,1.276,1.277,1.275,1.276,21010,2681030.0,AkShare场内ETF
2014-10-22,1.3,1.307,1.298,1.307,42897,5594689.0,AkShare场内ETF
2014-10-23,1.301,1.301,1.296,1.299,18594,2412412.0,AkShare场内ETF
2014-10-24,1.31,1.313,1.31,1.31,16699,2190455.0,AkShare场内ETF
2014-10-27,1.317,1.325,1.316,1.324,18009,2378236.0,AkShare场内ETF
2014-10-28,1.324,1.327,1.319,1.319,19935,2634536.0,AkShare场内ETF
2014-10-29,1.334,1.342,1.334,1.334,18827,2517622.0,AkShare场内ETF
2014-10-30,1.329,1.334,1.324,1.334,20367,2711972.0,AkShare场内ETF
